"	LoanAmount	CreationDate	fpd_15	data.Request.Input.CB2.MaxDPD	data.Request.Input.CB2.Labelling	data.Request.Input.CB2.CurrentDPD	data.Request.Input.CB2.Outstandingloan	data.Request.Input.CB1.MaxDPD	data.Request.Input.CB1.Labelling	data.Request.Input.CB1.CurrentDPD	data.Request.Input.CB1.Outstandingloan	data.Request.Input.Customer.EducationStatus	data.Request.Input.Customer.TotalExistingExposure	data.Request.Input.Customer.Income.Final	data.Request.Input.Customer.Gender	data.Request.Input.Customer.NumberOfChildren	data.Request.Input.Customer.AddressLGA	data.Request.Input.Customer.Employment.EmployerLGA	data.Request.Input.Customer.Employment.IndustrySector	data.Request.Input.Customer.Employment.BusinessSector	data.Request.Input.Customer.Employment.NumberOfEmployees	data.Request.Input.Customer.DateOfBirth	data.Request.Input.Customer.ResidentialStatus	data.Request.Input.Customer.MaritalStatus	data.Request.Input.Customer.ExistingCustomer	data.Request.Input.Customer.TimeAtAddressMM	data.Request.Input.SalaryService.MonthlyElectricitySpending4	data.Request.Input.SalaryService.MinimumBalance	data.Request.Input.SalaryService.MinimumCredit	data.Request.Input.SalaryService.AvgNumDebitMn	data.Request.Input.SalaryService.MonthlyCashFlow2	data.Request.Input.SalaryService.MonthlyCashFlow3	data.Request.Input.BVN.StateOfOrigin	data.Request.Input.PrevApplication.LoanAmount	data.Request.Input.PrevApplication.LoanTerm	data.Request.Input.PrevApplication.InterestRate	data.Request.Input.Application.RequestedLoanTerm	data.Request.Input.SalaryService.OpeningBalance",,,
"685	770000.0	2023-03-30	0	0.0	Sub-Prime	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Graduate	1532000.0	5077000.0	1	0.0	Eleme	Ikenne	Other manufacturing	Agriculture	2.0	1998-06-12	With Friends	Married	1	31.0							Abia State	1160000.0	19.0	10.0	22.0	",,,
"686	1140000.0	2023-05-01	0	0.0	Near-Prime	0.0	0.0		Prime			Graduate	1235000.0	9762000.0	0	0.0	Shagamu	Ikenne	Power transmission	Real estate activities	15.0	1984-11-10	With Relatives	Divorced	1	67.0	92500.0	300.0	0.0	270.0	10000.0	-55000.0	Ebonyi State	2879000.0	23.0	8.0	10.0	",,,
"687	220000.0	2023-07-10	0		NTC		0.0	246.0	Prime	246.0	40000.0	Graduate	243000.0	2017000.0	0	4.0	Kuje	Ibadan Central	Oil - upstream	Oil and Gas		1968-11-19	With Friends	Widowed	1	132.0		0.0	0.0	100.0	1036000.0	-13000.0	Akwa Ibom State	110000.0	17.0	15.0	16.0	0.0",,,
"688	160000.0	2023-06-26	1	0.0	Prime	0.0	0.0		NTC		0.0	Graduate	160000.0	1342000.0	0		Kosofe	Apapa	Wood and related products	Administrative and support service activities	3.0	1991-09-01	With Relatives	Widowed	0	2.0							Cross River State				10.0	",,,
"689	200000.0	2023-06-21	1	0.0	Near-Prime	0.0	0.0	0.0	Prime	0.0	0.0	Post Graduate	255000.0	2224000.0	0		Abeokuta South	Ibeju/Lekki	Other waste management services	Online	1.0	1992-12-28	Renting	Divorced	1	86.0							OYO State	423000.0	14.0	14.0	11.0	",,,
"690	3000000.0	2023-02-16	0	0.0	NTC	0.0	380000.0	0.0	Prime	0.0	0.0	Post Graduate	2548000.0	50548000.0	1	0.0	Eti-Osa	Ikwerre	Pensions Fund Administration and Custodians	Services	2.0	1970-04-09	With Relatives	Divorced	1	41.0							Imo State	289000.0	19.0	16.0	21.0	",,,
"691	180000.0	2023-05-27	0	0.0	NTC	0.0	0.0	0.0	NTC	0.0	350000.0	Graduate	246000.0	1322000.0	0	3.0	Amuwo-Odofin	Ifako-Ijaye	Waste collection"," treatment and supply	Consumer Goods	2.0	1981-11-26	Owner	Married	1	421.0							Cross River State	98000.0	2.0	26.0	18.0	",,
"692	120000.0	2023-06-03	1		NTC		0.0	0.0	NTC	0.0	0.0	Primary	109000.0	903000.0	1		Port Harcourt	Port-Harcourt	Water Collection"," treatment and supply	Online	0.0	1976-08-26	Owner	Widowed	0	212.0							Kaduna State				13.0	",,
"693	4440000.0	2023-07-31	0	0.0	Sub-Prime	0.0	3300000.0	0.0	Sub-Prime	0.0	3440000.0	Primary	4280000.0	94753000.0	0		Alimosho	Badagry	Confectionaries	Online		1984-03-14	Renting	Widowed	0								Delta State				15.0	",,,
"694	490000.0	2023-08-06	0	0.0	Prime	0.0	0.0		Near-Prime		0.0	Secondary	1017000.0	6570000.0	0		Ikeja	Surulere	Wood and related products	Arts"," entertainment and recreation		1974-12-17	With Relatives	Married	0								Gombe State				10.0	",,
"695	200000.0	2023-04-29	1	0.0	Near-Prime	0.0	0.0	0.0	Prime	0.0	0.0	Post Graduate	399000.0	3330000.0	0		Lagos Island	Shagamu	Educational support services	Information and communication	8.0	1994-05-07	Renting	Widowed	0	0.0							Rivers State				11.0	",,,
"696	1180000.0	2023-08-22	1	0.0	NTC	0.0	0.0	550.0	Prime	550.0	0.0	Post Graduate	1045000.0	6416000.0	0		Surulere	Shomolu	Other manufacturing	Finance	6.0	1993-09-13	With Friends	Married	0			1200.0	100.0	170.0			Niger State				3.0	6000.0",,,
"697	160000.0	2023-02-21	1	36600.0	NTC	366.0	20000.0	0.0	Sub-Prime	0.0	0.0	Graduate	293000.0	1027000.0	0	0.0	Bwari	Asari-Toru	Power distribution	General	2.0	1994-01-05	With Friends	Divorced	1	8.0							OYO State	820000.0	62.0	10.0	21.0	",,,
"698	130000.0	2023-02-18	1	0.0	Sub-Prime	0.0		0.0	Near-Prime	0.0	0.0	Graduate	132000.0	821000.0	0		Apapa	Owo	Chemicals and chemical products	Administrative and support service activities	2.0		Renting	Married	1	3.0	0.0	0.0	0.0	60.0	-0.0	0.0	FCT	1009000.0	13.0	4.0	2.0	",,,
"699	4100000.0	2023-09-15	0		NTC		0.0	0.0	Near-Prime	0.0	0.0	HND	4404000.0	27664000.0	0		Kosofe	Oshodi-Isolo	Other manufacturing	Utilities		1984-01-20	Owner	Married	0								Taraba State				13.0	",,,
"700	500000.0	2023-05-12	0	0.0	NTC	0.0	120000.0		Prime		0.0	Primary	1483000.0	9166000.0	0		Amuwo-Odofin	Port-Harcourt	Fabricated metal products	Services	2.0	1988-03-18	Renting	Widowed	0								Kwara State				12.0	",,,
"701	110000.0	2023-04-16	0	0.0	NTC	0.0	20000.0	0.0	NTC	0.0	0.0	Secondary	335000.0	3369000.0	1		Abaji	Ibadan Central	Office equipment	Online		1988-11-05	Owner	Widowed	1								Nasarawa State	349000.0	10.0	12.0	10.0	",,,
"702	190000.0	2023-06-09	0	0.0	Sub-Prime	0.0	450000.0	841.0	Prime	841.0	920000.0	Graduate	1346000.0	7091000.0	0		Ojo	Ifako-Ijaye	Lending	Online			With Friends	Divorced	1	5.0							ABIA State	140000.0	10.0	9.0	10.0	",,,
"703	2550000.0	2023-04-06	1	217.0	Near-Prime	275.0	30000.0	180.0	Sub-Prime	0.0	30000.0	Graduate	2952000.0	18800000.0	0		Obafemi-Owode	Ifako-Ijaye	Drug retailers	Natural Resources	6.0		Renting	Married	1								Yobe State	2423000.0	14.0	12.0	12.0	",,,
"704	90000.0	2023-06-10	1	0.0	NTC	0.0	0.0		Near-Prime		0.0	Graduate	123000.0	660000.0	0		Abuja Municipal	Obafemi-Owode	Charity	Finance	0.0	1984-06-28	With Relatives	Married	0			54600.0	100.0	20.0	0.0		ABIA State				19.0	39000.0",,,
"705	1310000.0	2023-04-18	0	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	1776000.0	9569000.0	0		Surulere	Ifako-Ijaye	Transport related	Finance	3.0	1984-12-13	Owner	Widowed	0								Niger State				12.0	",,,
"706	100000.0	2023-04-28	0	30.0	Prime	0.0	50000.0	0.0	Near-Prime	0.0	0.0	Post Graduate	3224000.0	25182000.0	0		Kuje	Shomolu	Power distribution	Administrative and support service activities		1996-01-06	With Friends	Married	1	49.0							Jigawa State	95000.0	3.0	30.0	14.0	",,,
"707	590000.0	2023-06-24	0	0.0	NTC	1106.0	500000.0		Sub-Prime		0.0	Secondary	688000.0	2500000.0	1		Shagamu	Ifako-Ijaye	Internet Service Providers	Industrial Goods	2.0	1990-02-06	Renting	Widowed	1	12.0							Niger State	685000.0	16.0	14.0	13.0	",,,
"708	170000.0	2023-07-06	0		NTC		0.0	0.0	Near-Prime	0.0	0.0	Post Graduate	413000.0	2372000.0	0		Oshodi-Isolo	Akure North	Libraries", archives," museums and others	Construction	1.0	1979-06-04	Renting	Married	0								Nasarawa State				13.0	",
"709	5040000.0	2023-08-28	1	360.0	NTC	0.0	0.0	407.0	Sub-Prime	407.0	20000.0	Graduate	4376000.0	49915000.0	0		Ojo	Kuje	Motion picture"," sound recording and music publishing activities	Finance		1974-12-06	Renting	Married	1								Ogun State	3225000.0	17.0	12.0	18.0	",,
"710	220000.0	2023-03-10	1	0.0	Sub-Prime	0.0		0.0	Near-Prime	0.0		Graduate	452000.0	3416000.0	0	0.0	Surulere	Kuje	Warehousing and support activities	Government		1996-10-24	Renting	Single	0	35.0							IMO State				11.0	",,,
"711	190000.0	2023-06-11	1		NTC		0.0	0.0	Near-Prime	0.0	0.0	Graduate	594000.0	4514000.0	0		Abeokuta South	Ikorodu	Motor vehicles	Real estate activities		2000-05-19	Owner	Single	0								OYO State				13.0	",,,
"712	210000.0	2023-05-30	1	0.0	Prime	0.0	1270000.0	0.0	Sub-Prime	0.0	0.0	Graduate	179000.0	3234000.0	0	5.0	Obafemi-Owode	Alimosho	Building construction	Services	7.0	1973-08-15	With Friends	Married	1	33.0	700.0	-37700.0	0.0	50.0	31000.0	-639000.0	Gombe State	1280000.0	32.0	7.0	12.0	4000.0",,,
"713	220000.0	2023-06-12	1		NTC		0.0	0.0	Sub-Prime	0.0	0.0	Secondary	403000.0	2146000.0	0		Oshodi-Isolo	Shomolu	Other Manufacturing	Real estate activities		1989-09-03	With Friends	Divorced	0								Ondo State				10.0	",,,
"714	870000.0	2023-05-16	0	0.0	Sub-Prime	0.0	1390000.0	0.0	Sub-Prime	0.0	1440000.0	Post Graduate	2637000.0	17951000.0	1		Epe	Gwagwalada	Apparel Retail	Utilities	4.0	1980-02-04	With Relatives	Single	0								Edo State				14.0	",,,
"715	380000.0	2023-03-17	0	0.0	Sub-Prime	0.0	0.0	0.0	Sub-Prime	0.0	60000.0	Graduate	406000.0	2271000.0	1		Shomolu	Gwagwalada	Architectural and engineering activities	Education	3.0	1987-05-21	With Relatives	Single	0	68.0							Cross River State				13.0	",,,
"716	240000.0	2023-09-16	0	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	170000.0	Graduate	270000.0	1617000.0	1		Epe	Oshodi-Isolo	Soft drinks/beverages	Agriculture		1993-11-19	With Friends	Single	0		0.0	0.0	500.0	140.0	0.0	-5000.0	Edo State				18.0	488000.0",,,
"717	4620000.0	2023-06-02	0	0.0	Sub-Prime	0.0	0.0		Sub-Prime		0.0	Graduate	5640000.0	181347000.0	0		Mushin	Mushin	Information and Communication Technology	Professional"," scientific and technical activities		1983-03-19	With Friends	Married	0								Nasarawa State				17.0	",,
"718	970000.0	2023-06-08	1	59.0	NTC	0.0	160000.0	0.0	Near-Prime	0.0	110000.0	Graduate	954000.0	4706000.0	0		Ifo	Epe	Architectural and engineering activities	Real estate activities	2.0	1986-12-09	With Friends	Married	0								OYO State				16.0	",,,
"719	260000.0	2023-10-13	0	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Graduate	762000.0	7337000.0	0		Apapa	Kuje	Rental and leasing activities	Online		1961-07-22	With Friends	Married	0	261.0							OSUN State				11.0	",,,
"720	170000.0	2023-07-02	0	0.0	Sub-Prime	0.0	0.0		Sub-Prime		0.0	Post Graduate	1299000.0	242000.0	0	3.0	Abuja Municipal	Kwali	Wholesale trade	Non-Governmental Organization	2.0	1983-03-24	Owner	Married	1	23.0	0.0	1700.0	0.0	330.0	-58149000.0	62489000.0	Niger State	102000.0	1.0	33.0	14.0	4000.0",,,
"721	4640000.0	2023-09-08	1	0.0	Near-Prime	0.0	0.0	0.0	Prime	0.0	4990000.0	HND	4154000.0	21731000.0	0	0.0	Ifako-Ijaye	Port-Harcourt	Water collection"," treatment and supply	Waste Management Activities	12.0	1987-02-11	With Relatives	Married	1	134.0							Jigawa State	3668000.0	11.0	5.0	4.0	",,
"722	350000.0	2023-07-12	0		Prime		0.0		Sub-Prime		0.0	Post Graduate	339000.0	1796000.0	0		Abeokuta North	Ibadan Central	Crop Production	Utilities	1.0	1997-12-29	With Friends	Divorced	0	23.0	368800.0	-138100.0	0.0	70.0	-87000.0	68000.0	Taraba State				15.0	12000.0",,,
"723	3850000.0	2023-06-15	0		Prime		0.0		NTC		0.0	Post Graduate	5157000.0	66187000.0	0		Ifo	Alimosho	Other manufacturing	General	1.0	1986-02-20	With Friends	Widowed	0								Bauchi State				16.0	",,,
"724	130000.0	2023-04-05	1	0.0	NTC	0.0	0.0	0.0	Near-Prime	0.0	0.0	HND	1220000.0	8353000.0	0		Abeokuta North	Ikeja	Oil - upstream	Online		1992-08-15	With Friends	Married	0								ABIA State				12.0	",,,
"725	1770000.0	2023-04-05	0	0.0	Sub-Prime	0.0			Near-Prime			Graduate	1788000.0	10804000.0	0		Ibeju/Lekki	Ikwerre	Power distribution	Wholesale and retail trade		1995-05-25	With Friends	Single	0		1285000.0	300.0	100.0	70.0	-776000.0	-634000.0	Plateau State				12.0	",,,
"726	200000.0	2023-05-25	0	0.0	Prime	0.0	990000.0	0.0	Near-Prime	0.0	1270000.0	Graduate	2971000.0	26335000.0	0		Ijebu North	Ibeju/Lekki	Waste collection"," treatment and supply	Industrial Goods	0.0	1964-12-23	Renting	Divorced	1								Ebonyi State	3529000.0	12.0	11.0	11.0	",,
"727	3370000.0	2023-04-19	0	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0		Graduate	3092000.0	18520000.0	0		Abeokuta South	Amuwo-Odofin	Plantation	General	3.0		With Friends	Single	0								Delta State				12.0	",,,
"728	110000.0	2023-05-30	1	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	99000.0	524000.0	0		Mushin	Lagos Mainland	Educational support services	Wholesale and retail trade	0.0	1998-11-11	Renting	Married	0		12400.0	0.0	0.0	10.0	0.0	0.0	Ekiti State				17.0	0.0",,,
"729	1170000.0	2023-04-16	1		Prime				Sub-Prime			Graduate	3580000.0	26321000.0	0		Alimosho	Surulere	Employment activities	Wholesale and retail trade	11.0	1994-08-23	Renting	Married	0	26.0							Ebonyi State				11.0	",,,
"730	180000.0	2023-05-31	1	0.0	Prime	0.0	290000.0	0.0	NTC	0.0	230000.0	Graduate	969000.0	7814000.0	0		Kosofe	Lagos Mainland	Office equipment	Waste Management Activities		1994-02-15	With Friends	Married	0								Enugu State				12.0	",,,
"731	1050000.0	2023-08-08	0	0.0	Sub-Prime	0.0	10000.0		Prime		0.0	Post Graduate	967000.0	4578000.0	0		Ajeromi-Ifelodun	Lagos Island	Religious bodies	Administrative and support service activities	3.0	1976-12-12	Renting	Single	0		20300.0	4200.0	0.0	390.0	262000.0	-25000.0	Kano State				16.0	7000.0",,,
"732	190000.0	2023-04-14	1	120.0	Sub-Prime	0.0	20000.0	61.0	Near-Prime	61.0	20000.0	Graduate	230000.0	1808000.0	0		Lagos Island	Shomolu	Food products	Services	4.0	1983-01-05	Renting	Married	0	177.0							Edo State				13.0	",,,
"733	150000.0	2023-06-03	0	0.0	Near-Prime	0.0	0.0	0.0	Near-Prime	0.0	70000.0	Graduate	199000.0	1383000.0	0		Ifako-Ijaye	Ojo	Advertising and market research	Professional"," scientific and technical activities	2.0	1976-04-23	With Friends	Widowed	1								Ogun State	88000.0	3.0	20.0	10.0	",,
"734	220000.0	2023-02-22	0	999.0	Prime	999.0	280000.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	164000.0	4005000.0	0	2.0	Ifako-Ijaye	Ajeromi-Ifelodun	Transport-related services	Utilities	1.0	1988-05-27	With Relatives	Married	1	66.0	0.0	0.0	0.0	180.0	-77000.0	104000.0	Rivers State	528000.0	14.0	15.0	13.0	",,,
"735	170000.0	2023-03-22	1	0.0	Near-Prime	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Graduate	332000.0	3008000.0	0	1.0	Ojo	Ikwerre	Libraries", archives," museums and others	Services	2.0	1994-03-08	With Friends	Divorced	1	72.0							DELTA State	266000.0	11.0	8.0	10.0	",
"736	100000.0	2023-06-01	1	0.0	Sub-Prime	0.0	0.0	0.0	Near-Prime	0.0	0.0	Post Graduate	93000.0	773000.0	0		Shagamu	Ibadan Central	Crop Production	Utilities		1973-06-14	Renting	Single	0		0.0	200.0	0.0	130.0	19000.0	-22000.0	Kogi State				14.0	8000.0",,,
"737	190000.0	2023-07-06	1		Sub-Prime		0.0		Near-Prime		0.0	Post Graduate	1262000.0	137000.0	0		Ijebu Ode	Ikenne	Pensions Fund Administration and Custodians	Education	2.0	1984-02-02	With Friends	Widowed	0	177.0	0.0	200.0	100.0	180.0	-223000.0	-782000.0	Nasarawa State				10.0	4000.0",,,
"738	100000.0	2023-07-01	1		Prime		0.0	60.0	Near-Prime	0.0	30000.0	Graduate	105000.0	818000.0	0		Ijebu Ode	Ibeju/Lekki	Waste collection"," treatment and supply	Administrative and support service activities	2.0	1982-09-02	With Friends	Married	0	159.0							Plateau State				14.0	",,
"739	310000.0	2023-03-27	0		Sub-Prime				Near-Prime			Post Graduate	252000.0	1916000.0	0		Ikeja	Ajeromi-Ifelodun	Commercial bank	Professional"," scientific and technical activities		1993-11-11	With Friends	Married	0								Borno State				11.0	",,
"740	140000.0	2023-04-22	0		Prime			0.0	Sub-Prime	0.0		Post Graduate	159000.0	893000.0	0		Mushin	Lagos Mainland	Information and Communication Technology	Information and communication	0.0	1991-06-07	With Relatives	Single	0		0.0	100.0	0.0	80.0	-1000.0	-64000.0	Katsina State				12.0	",,,
"741	160000.0	2023-05-07	0	0.0	Sub-Prime	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Primary	1322000.0	10505000.0	1		Ojo	Ikeja	Other professional"," scientific and technical activities	Industrial Goods	3.0	1991-11-26	Renting	Single	0	161.0							Ondo State				10.0	",,
"742	4380000.0	2023-07-17	0	60.0	Sub-Prime	0.0	320000.0	0.0	Prime	0.0	380000.0	Secondary	5403000.0	27638000.0	0	3.0	Amuwo-Odofin	Ibadan Central	Motion picture"," sound recording and music publishing activities	Online	3.0	1975-12-25	Renting	Married	1	89.0							Niger State	165000.0	10.0	26.0	15.0	",,
"743	120000.0	2023-05-28	0		NTC				Near-Prime			Graduate	110000.0	2319000.0	0		Ijebu North	Ajeromi-Ifelodun	Other business support activities	Services		1976-06-03	Renting	Single	0			0.0	100.0	60.0			Jigawa State				14.0	250000.0",,,
"744	3300000.0	2023-09-10	0		Sub-Prime		0.0	0.0	Near-Prime	0.0	0.0	Post Graduate	4404000.0	20846000.0	0		Ijebu North	Asari-Toru	Insurance companies	Administrative and support service activities		1992-05-05	With Friends	Married	0								Jigawa State				19.0	",,,
"745	110000.0	2023-06-08	1	631.0	Sub-Prime	631.0	60000.0	180.0	Sub-Prime	0.0	40000.0	Post Graduate	210000.0	1386000.0	0		Ifako-Ijaye	Surulere	Other professional"," scientific and technical activities	Services		1998-06-14	With Relatives	Single	0								Taraba State				13.0	",,
"746	100000.0	2023-06-04	1	0.0	Sub-Prime	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Graduate	126000.0	883000.0	1	1.0	Abeokuta North	Ikorodu	Pensions Fund Administration and Custodians	Services	1.0	1998-12-18	With Relatives	Married	1	36.0							Akwa Ibom State	23000.0	12.0	19.0	11.0	",,,
"747	160000.0	2023-06-20	1	1037.0	NTC	1037.0	60000.0	999.0	Prime	999.0	30000.0	Post Graduate	197000.0	1335000.0	0		Ojo	Eleme	Breweries	Online	1.0	1981-09-09	With Relatives	Divorced	1	2.0							Akwa Ibom State	263000.0	9.0	5.0	12.0	",,,
"748	140000.0	2023-07-05	1	154.0	Sub-Prime	154.0	220000.0		Sub-Prime		0.0	Graduate	1039000.0	7060000.0	1		Port Harcourt	Mushin	Remediation activities	Construction		1992-04-17	Owner	Single	0								Anambra State				12.0	",,,
"749	5250000.0	2023-08-16	0	0.0	Prime	0.0	850000.0		Prime		0.0	Post Graduate	5417000.0	69322000.0	0		Mushin	Abeokuta North	Asset management	Real estate activities		1976-01-10	Renting	Married	0								Borno State				17.0	",,,
"750	420000.0	2023-04-10	0	0.0	NTC	70.0	0.0	0.0	Sub-Prime	0.0		Post Graduate	485000.0	713000.0	1		Ijebu Ode	Ibeju/Lekki	Other Manufacturing	Transportation and storage		1983-10-22	With Friends	Married	0		0.0	200.0	200.0	100.0	-0.0	-0.0	Kwara State				35.0	",,,
"751	190000.0	2023-05-30	1		Near-Prime		0.0	0.0	Sub-Prime	0.0	0.0	Graduate	208000.0	1292000.0	1		Ijebu Ode	Akure North	Parliamentary/politics	Waste Management Activities		1959-05-03	With Friends	Widowed	0								Nasarawa State				13.0	",,,
"752	5080000.0	2023-09-13	1	30.0	NTC	0.0	150000.0	0.0	NTC	0.0	300000.0	Secondary	5159000.0	34168000.0	0	0.0	Abeokuta North	Oshodi-Isolo	Textiles/apparels	Construction	5.0	1998-07-08	Renting	Widowed	1	31.0	8657300.0	-123700.0	0.0	130.0	-19000.0	-187000.0	Abia State	100000.0	1.0	31.0	14.0	1000.0",,,
"753	200000.0	2023-03-13	1	0.0	NTC	0.0	0.0	0.0	Near-Prime	0.0	0.0	Post Graduate	187000.0	4115000.0	0		Amuwo-Odofin	Ojo	Fabricated metal products	Human health and social work activities	2.0	1984-08-31	Owner	Single	0		0.0	-3700.0	0.0	50.0	1000.0	-16000.0	Kano State				3.0	",,,
"754	120000.0	2023-03-23	0		Prime			0.0	NTC	0.0	60000.0	Post Graduate	149000.0	1039000.0	0		Abeokuta South	Port-Harcourt	Secondary Education	Professional"," scientific and technical activities	1.0	1991-11-30	With Relatives	Married	1								Nasarawa State	136000.0	14.0	26.0	12.0	",,
"755	230000.0	2023-05-12	0	0.0	Near-Prime	0.0	30000.0	0.0	NTC	0.0	30000.0	HND	849000.0	5093000.0	0		Abuja Municipal	Ibadan Central	Educational support services	Real estate activities		1975-09-14	Owner	Married	0								Cross River State				14.0	",,,
"756	150000.0	2023-02-27	0	0.0	NTC	0.0		0.0	Prime	0.0	0.0	Secondary	161000.0	887000.0	0		Kosofe	Mushin	Confectionaries	Online		1992-07-13	With Relatives	Single	0			0.0	100.0	80.0			Abia State				11.0	",,,
"757	210000.0	2023-02-10	1	0.0	NTC	0.0		0.0	Sub-Prime	0.0		Graduate	286000.0	9394000.0	0		Mushin	Ajeromi-Ifelodun	Tobacco products	Real estate activities	2.0	1987-05-07	With Relatives	Widowed	0		0.0	100.0	400.0	70.0	19000.0	-0.0	Yobe State				23.0	",,,
"758	810000.0	2023-05-23	0	0.0	NTC	0.0	1500000.0	0.0	Prime	0.0	3850000.0	Post Graduate	1255000.0	4467000.0	1	1.0	Shagamu	Ikeja	Microfinance bank	Finance	2.0	1989-03-06	Renting	Single	1	113.0	24500.0	-13900.0	0.0	60.0	-866000.0	1153000.0	Kogi State	2798000.0	8.0	8.0	19.0	6000.0",,,
"759	230000.0	2023-06-20	0	0.0	NTC	0.0	0.0	129.0	Near-Prime	129.0	1830000.0	Graduate	319000.0	2029000.0	0	2.0	Eti-Osa	Port Harcourt	Transport-related services	Professional"," scientific and technical activities		1982-02-21	Owner	Widowed	1	58.0							ABIA State	174000.0	6.0	5.0	14.0	",,
"760	200000.0	2023-05-23	1	0.0	NTC	0.0	0.0	0.0	Near-Prime	0.0	0.0	Post Graduate	180000.0	1297000.0	0		Shagamu	Oshodi-Isolo	Lending	General		1998-03-28	With Friends	Married	0								Yobe State				14.0	",,,
"761	2770000.0	2023-05-14	0	0.0	Sub-Prime	0.0	0.0	0.0	Near-Prime	0.0	0.0	Graduate	3183000.0	20146000.0	0	3.0	Bwari	Amuwo-Odofin	Brokerage	General	3.0	1971-08-29	With Friends	Divorced	0	38.0							Ekiti State				16.0	",,,
"762	3140000.0	2023-07-20	1	0.0	Near-Prime	0.0	0.0		Sub-Prime		0.0	Graduate	3061000.0	21326000.0	0		Abuja Municipal	Mushin	Office equipment	Natural Resources		1982-05-03	With Relatives	Widowed	0								Rivers State				18.0	",,,
"763	170000.0	2023-06-20	1	0.0	Sub-Prime	0.0	160000.0	521.0	Sub-Prime	521.0	170000.0	Post Graduate	290000.0	1825000.0	0		Ojo	Obafemi-Owode	Employment activities	Agriculture		1984-01-30	Renting	Single	0								Ondo State				10.0	",,,
"764	220000.0	2023-05-08	1	0.0	Prime	0.0	50000.0	0.0	Sub-Prime	0.0	0.0	Graduate	3220000.0	20997000.0	0	2.0	Eleme	Ifako-Ijaye	Transport related	Waste Management Activities	2.0	1994-03-11	Owner	Married	1	2.0							Ondo State	336000.0	13.0	14.0	12.0	",,,
"765	700000.0	2023-08-04	0	0.0	NTC	0.0	0.0	0.0	NTC	0.0	0.0	Primary	971000.0	4962000.0	0	0.0	Shomolu	Surulere	Waste collection"," treatment and disposal	Online		1990-12-28	Owner	Married	0	44.0	7097200.0	-135500.0	0.0	120.0	1443000.0	-179000.0	Nasarawa State				16.0	41000.0",,
"766	170000.0	2023-04-26	1	0.0	Near-Prime	0.0	0.0	30.0	Prime	0.0	40000.0	Post Graduate	381000.0	2134000.0	0		Shomolu	Ikenne	Air transport	General		1997-11-22	Renting	Widowed	0								Ogun State				14.0	",,,
"767	190000.0	2023-05-22	1	0.0	Sub-Prime	0.0	0.0	0.0	Near-Prime	0.0	0.0	Graduate	336000.0	1821000.0	0		Ifo	Obafemi-Owode	Others	Online		1970-12-23	Renting	Married	0								Nasarawa State				11.0	",,,
"768	3530000.0	2023-02-17	0	0.0	NTC	0.0	1300000.0	0.0	Prime	0.0	1620000.0	Graduate	3328000.0	200356000.0	0	0.0	Abeokuta South	Ajeromi-Ifelodun	Secondary Education	Finance	5.0	1998-01-30	With Relatives	Divorced	1	23.0							Yobe State	1192000.0	18.0	30.0	40.0	",,,
"769	680000.0	2023-05-20	0		NTC				Sub-Prime			HND	701000.0	3557000.0	0	0.0	Surulere	Badagry	Insurance companies	Utilities	3.0	1990-10-26	With Relatives	Widowed	1	69.0							Akwa Ibom State	274000.0	53.0	11.0	15.0	",,,
"770	1780000.0	2023-09-01	0	0.0	Sub-Prime	0.0	9770000.0	0.0	Near-Prime	0.0	12940000.0	Post Graduate	1786000.0	9134000.0	0	1.0	Ifako-Ijaye	Ibadan Central	Specialized construction activities	Administrative and support service activities	2.0	1972-05-13	With Friends	Divorced	1	111.0							Kebbi State	2960000.0	17.0	11.0	13.0	",,,
"771	190000.0	2023-03-03	0	0.0	NTC	0.0		0.0	NTC	0.0	0.0	Post Graduate	2342000.0	16504000.0	0		Ojo	Port Harcourt	Charity	Oil and Gas		1986-09-15	With Relatives	Widowed	0								Bayelsa State				10.0	",,,
"772	200000.0	2023-06-02	0	0.0	Near-Prime	0.0	0.0	0.0	NTC	0.0	0.0	Post Graduate	345000.0	1658000.0	1		Shagamu	Port-Harcourt	Libraries", archives," museums and others	Transportation and storage	2.0	1994-03-02	Owner	Single	1								LAGOS State	150000.0	13.0	32.0	10.0	",
"773	560000.0	2023-04-26	0	0.0	NTC	0.0	610000.0	0.0	Sub-Prime	0.0	0.0	HND	433000.0	2858000.0	0	2.0	Ijebu Ode	Ifako-Ijaye	Courier/freight/delivery	Wholesale and retail trade	4.0	1984-02-01	Owner	Married	1	68.0							Ebonyi State	1323000.0	37.0	9.0	10.0	",,,
